CensusTract,Zipcode,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATractsVehicle_20,LAPOP05_10,LALOWI05_10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031030102,60660,1,3204,1894,0,66,2.059925094,0,0,0,0,0,0,16.21315193,72115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,308,361,1898,709,330,1,13,253,347,947,106
17031030103,60660,1,1928,1084,0,366,18.98340249,0,0,0,0,0,0,16.61237785,67969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,84,104,1150,341,303,0,4,130,182,370,28
17031030104,,1,3681,1189,0,1681,45.66693833,0,0,0,0,0,1,27.87761049,69375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,129,265,2398,409,695,1,8,170,282,470,107
17031030200,60660,1,5369,2507,0,45,0.838144906,0,0,0,0,0,0,14.33566434,107411,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,910,409,3918,468,432,6,38,507,743,604,49
17031030300,60660,1,3322,1393,0,0,0,0,0,0,0,0,1,24.04734411,48472,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,683,427,1716,432,438,2,49,685,1219,443,294
17031030400,60660,1,2684,1251,0,0,0,0,0,0,0,0,1,15.91789311,54375,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,486,308,1818,205,282,0,17,362,852,269,240
17031030500,,1,6395,2970,0,125,1.954652072,0,0,0,0,0,0,5.473113132,96607,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,949,431,4386,533,506,4,67,899,1626,836,119
17031030601,60660,1,4012,2153,0,182,4.536390828,0,0,0,0,0,1,17.62208068,40956,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646,473,627,2179,1050,424,0,16,343,521,791,488
17031030603,,1,2095,1273,0,0,0,0,0,0,0,0,1,23.86464826,42021,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,271,72,1031,617,178,0,24,245,447,754,235
17031030604,60660,1,2976,1884,0,2,0.067204301,0,0,0,0,0,1,24.43181818,66775,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,246,406,1592,602,569,1,8,204,275,1066,299
17031030701,60640,1,1549,888,0,196,12.65332473,0,0,0,0,0,1,26.3022508,63393,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,147,107,827,405,120,1,7,189,267,445,151
17031030702,60640,1,1630,1087,0,0,0,0,0,0,0,0,0,13.05506217,117565,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,111,266,1006,170,362,0,4,88,124,592,69
17031030703,60640,1,2830,1724,0,4,0.141342756,0,0,0,0,0,1,25.12891028,57550,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,274,584,1717,586,265,2,23,237,353,920,396
17031030706,60640,1,3599,2375,0,0,0,0,0,0,0,0,1,13.28551913,56750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,296,1024,2373,504,460,0,21,241,387,1102,162
17031030800,60640,1,4326,2052,0,148,3.421174295,0,0,0,0,0,0,8.868283405,124250,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,584,415,3333,194,468,1,10,320,478,463,96
17031030900,60640,1,3028,1458,0,3,0.099075297,0,0,0,0,0,0,9.441359033,133710,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,461,292,2216,116,322,0,5,369,671,301,115
17031031000,60640,1,3656,1901,0,0,0,0,0,0,0,0,0,6.777996071,95787,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,474,289,2674,166,275,1,23,517,834,403,123
17031031100,60640,1,4402,2296,0,80,1.817355747,0,0,0,0,0,0,12.34939759,108193,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,444,383,3053,215,740,0,25,369,643,732,94
17031031200,60640,1,5648,2682,0,620,10.97733711,0,0,0,0,0,1,26.85906516,42247,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012,915,630,2168,1661,1107,3,38,671,852,1182,943
17031031300,60640,1,7076,3887,0,461,6.514980215,0,0,0,0,0,1,22.09318595,50738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,957,1228,3590,1519,1449,2,24,492,685,1854,653
17031031400,60613,1,5150,3228,0,352,6.834951456,0,0,0,0,0,0,10.55793991,132694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,258,946,4066,463,387,1,13,220,367,973,74
17031031501,60640,1,4083,1807,0,485,11.8785207,0,0,0,0,0,1,46.87159363,24306,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3081,681,593,1593,1181,948,2,23,336,515,809,753
17031031502,60613,1,4354,2325,0,0,0,0,0,0,0,0,1,32.27262954,36028,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836,804,361,1571,1952,352,0,20,459,591,1234,941
17031031700,60613,1,6570,3580,0,124,1.887366819,0,0,0,0,0,1,23.98954972,106412,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2531,935,262,3811,1469,327,6,41,916,1199,1453,618
17031031800,60640,1,1820,953,0,3,0.164835165,0,0,0,0,0,0,7.108239095,125833,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,259,107,1371,77,116,0,15,241,423,275,50
17031031900,60613,1,2304,1255,0,14,0.607638889,0,0,0,0,0,0,11.37957911,136250,0,0,0,0,0,0,7.542252682,1.755775766,7.542252682,0.327354717,1.755775766,0.076205545,1.733802726,0.075251854,0.674745685,0.029285837,6.021407969,0.261345832,0.174842954,0.00758867,0.732240896,0.031781289,0,0,0.037565567,0.00163045,0.576195566,0.025008488,1.008002792,0.043750121,1.014211235,0.080813644,0.135823812,0.010822615,684,332,122,1793,165,121,0,10,215,342,382,52
17031032100,60613,1,7052,4141,0,100,1.418037436,0,0,0,0,0,1,23.73842938,116477,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2313,672,586,4866,1217,386,1,22,560,898,1897,692
17031040100,60625,1,3985,1664,0,199,4.993726474,0,0,0,0,1,0,11.39896373,113250,0,1,0,1,0,1,2384.970618,515.933443,2384.970618,59.84869808,515.933443,12.9468869,414.0812694,10.39099798,206.7152202,5.187333003,1597.179819,40.07979469,141.6678868,3.555028526,225.2743399,5.653057463,0,0,11.4211186,0.286602725,409.427455,10.27421468,639.3873645,16.04485231,157.4973976,9.464987835,56.18862289,3.376720126,818,758,327,2792,185,326,0,44,638,1064,221,89
17031040201,60625,1,6218,2771,0,2,0.032164683,0,0,0,0,0,0,8.126541866,86765,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603,1011,598,4513,184,632,0,46,843,1375,537,202
17031040202,60625,1,7249,2886,0,149,2.055455925,0,0,0,0,0,1,18.45979615,50396,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3424,1431,792,4201,564,1621,14,29,820,1398,706,574
17031040300,60625,1,3069,1097,0,94,3.062886934,0,0,0,0,0,0,1.411930815,105504,0,1,0,1,0,0,772.4232678,82.37547836,772.4232678,25.16856526,82.37547836,2.684114642,174.682574,5.691840145,115.1446968,3.751863696,587.9456256,19.15756356,21.38384829,0.69676925,106.100868,3.457180449,0,0,1.687561095,0.054987328,55.30536866,1.802064798,71.35008484,2.324864283,2.714695264,0.247465384,13.5757109,1.23753062,320,630,449,1984,121,683,1,14,266,461,26,50
17031040401,60625,1,3092,1367,0,0,0,0,0,0,0,0,0,3.73468778,108229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,567,281,2369,51,261,2,9,400,655,212,38
17031040402,60625,1,4468,2376,0,0,0,0,0,0,0,0,0,6.452837351,142054,0,0,0,0,0,0,96.47758865,16.27534962,96.47758865,2.159301447,16.27534962,0.364264763,13.79106283,0.308663,1.186152548,0.026547729,80.30673981,1.797375555,4.74461019,0.106190917,3.580902576,0.080145537,0,0,0,0,7.845336795,0.175589454,9.031489372,0.202137184,16.21010494,0.682243474,3.123200297,0.131447824,1004,619,200,3493,139,280,0,17,539,846,385,163
17031040600,60625,1,2434,1250,0,0,0,0,0,0,0,0,0,3.778838504,94559,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,352,167,2034,49,117,0,7,227,360,217,12
17031040700,60625,1,3123,1553,0,0,0,0,0,0,0,0,0,6.863317757,115714,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,461,220,2471,103,198,0,3,348,517,383,98
17031040800,60618,1,1514,770,0,56,3.698811096,0,0,0,0,0,0,5.89953271,105250,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,187,153,1221,77,98,0,5,113,196,137,31
17031040900,60618,1,1950,1071,0,5,0.256410256,0,0,0,0,0,0,8.414766558,158000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,278,130,1634,37,86,0,2,191,278,295,0
17031050100,60613,1,2290,1137,0,0,0,0,0,0,0,0,0,4.922850845,147019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,333,143,1976,39,105,0,11,159,278,204,11
17031050200,60618,1,4837,2262,0,0,0,0,0,0,0,0,0,3.332719573,142500,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158,884,601,4040,124,310,2,19,342,703,316,156
17031050300,60618,1,2365,1065,0,0,0,0,0,0,0,0,0,9.69518913,92214,0,0,0,0,0,0,1.467339277,0.193259314,1.467339277,0.062043944,0.193259314,0.008171641,0.283239752,0.011976311,0.110148795,0.004657454,1.219504595,0.051564676,0.015735542,0.000665351,0.137685999,0.005821818,0,0,0,0,0.094413251,0.003992104,0.145553768,0.006154493,0.038745064,0.003638034,0.036256414,0.003404358,453,451,210,1982,44,133,0,8,198,407,53,58
17031050500,60618,1,4754,2138,0,3,0.063104754,0,0,0,0,0,0,2.954770551,174375,0,0,0,0,0,0,373.5840144,47.21461213,373.5840144,7.858309096,47.21461213,0.993155493,67.63273942,1.422649125,32.43532717,0.682274446,322.3527904,6.780664501,8.795938849,0.185021852,15.27391323,0.321285512,0,0,1.554432884,0.032697368,25.60694298,0.538639945,48.58698106,1.022023161,8.41806078,0.393735303,2.282613587,0.106763966,556,1028,381,4203,73,216,5,13,244,416,276,25
17031050600,60613,1,2071,1014,0,0,0,0,0,0,0,0,0,8.084519982,211818,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,298,114,1850,34,77,0,8,102,203,216,24
17031050700,60613,1,1418,680,0,0,0,0,0,0,0,0,0,3.540372671,176875,0,0,0,0,0,0,180.5550065,14.24253801,180.5550065,12.73307521,14.24253801,1.004410297,35.34818542,2.492819846,5.110542193,0.36040495,156.9886839,11.07113427,5.236570239,0.369292683,8.476771057,0.597797677,0,0,0,0,9.852980196,0.694850508,13.43207395,0.947254863,7.57765927,1.114361657,3.422168752,0.503260111,127,234,75,1256,31,52,2,1,76,105,62,28
17031050800,60618,1,1289,559,0,0,0,0,0,0,0,0,0,4.392587509,206250,0,0,0,0,0,0,242.2254629,32.58489406,242.2254629,18.7917349,32.58489406,2.527920408,46.01855803,3.570097597,8.220544398,0.63774588,210.6223688,16.33998206,2.17258516,0.168548112,20.16739625,1.5645769,0,0,0,0,9.263110042,0.718627622,19.18402326,1.488287297,23.38655239,4.183640858,4.058823153,0.726086432,196,275,67,1139,10,69,0,0,71,138,121,21
17031050900,60618,1,1391,662,0,0,0,0,0,0,0,0,0,4.838709677,115500,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,242,84,1167,26,73,0,0,125,229,47,5
17031051000,60618,1,1503,704,0,0,0,0,0,0,0,0,0,5.413271246,154792,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,252,73,1289,31,57,0,8,118,243,73,23
17031051100,60618,1,1556,691,0,0,0,0,0,0,0,0,0,3.264812576,182750,0,1,0,1,0,0,1150.801742,112.7145604,1150.801742,73.95898087,112.7145604,7.243866349,206.2069641,13.25237558,46.49967023,2.988410683,1010.590873,64.94799958,22.41535046,1.440575222,47.6839791,3.064523079,0.83069092,0.053386306,0,0,69.28084541,4.452496492,102.4590174,6.584769756,78.26879515,11.32688787,10.3211596,1.493655514,162,292,67,1367,32,58,1,0,98,173,91,12
17031051200,60618,1,1516,670,0,57,3.759894459,0,0,0,0,0,0,4.637491835,165208,0,1,0,1,0,0,856.3919677,79.9316301,856.3919677,56.49023534,79.9316301,5.272534967,159.6104539,10.52839405,37.00950529,2.441260243,763.6557293,50.37306922,18.45599601,1.217413985,13.40795066,0.884429463,1,0.065963061,0.128472462,0.008474437,59.74382936,3.940885842,93.57249487,6.172328158,24.72012759,3.689571282,3.668687322,0.547565272,145,262,58,1355,28,29,1,1,102,163,41,6
17031051300,60614,1,2683,1111,0,0,0,0,0,0,0,0,0,2.441613588,185652,0,1,0,1,0,0,751.9824847,51.64344025,751.9824847,28.02767367,51.64344025,1.924839368,151.5086664,5.646987194,24.40786045,0.909722715,633.4461097,23.60962019,12.60670406,0.469873427,25.38854551,0.946274525,0,0,4.217463732,0.157192088,76.32366097,2.844713417,143.5004918,5.348508827,8.559564902,0.770437885,2.532030642,0.227905548,160,599,100,2340,41,104,3,13,182,340,41,9
17031051400,60618,1,2077,948,0,0,0,0,0,0,0,0,0,7.906458797,158750,0,1,0,1,0,0,1186.062111,163.5037786,1186.062111,57.10457927,163.5037786,7.872112593,236.462107,11.3847909,62.18369168,2.993918714,957.711788,46.11034126,37.99111283,1.829133983,61.16102409,2.944680987,1,0.048146365,8.391216179,0.404006557,119.8069751,5.768270348,194.8470628,9.381177796,72.53845536,7.651735797,19.5546282,2.062724493,245,397,119,1518,192,106,1,15,245,416,111,29
17031060100,60613,1,2569,1238,0,0,0,0,0,0,0,0,0,6.41654979,145156,0,1,0,1,0,0,597.5095331,117.4759922,597.5095331,23.25844816,117.4759922,4.572829591,106.0460403,4.12791126,37.19345588,1.44777952,464.0348172,18.06285781,39.0128952,1.518602382,20.97707194,0.816546202,0,0,2.662793636,0.103650978,70.82195187,2.756790653,124.3860008,4.84180618,31.14066857,2.515401338,11.4659733,0.926169087,444,459,124,2236,77,76,3,3,174,312,171,51
17031060200,60613,1,2111,1092,0,1,0.047370914,0,0,0,0,1,0,15.31841652,133000,0,1,0,1,0,1,1269.944492,220.3159445,1269.944492,60.15843164,220.3159445,10.43656772,181.3843409,8.59234206,72.9279635,3.454664306,1046.760776,49.58601495,52.65774184,2.494445374,59.14691961,2.801843657,0,0,2,0.094741829,109.3790472,5.181385464,183.240508,8.680270391,239.1800106,21.90293137,21.0892207,1.931247317,596,342,112,1635,85,89,0,9,293,397,371,34
